City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ulladulla,-35.35,150.4667,30.43,33,100,1.51,AU,2023-10-30 01:12:41
1,college,64.8569,-147.8028,-3.03,87,75,0.0,US,2023-10-30 01:07:10
2,port elizabeth,-33.918,25.5701,14.06,79,40,3.09,ZA,2023-10-30 01:04:51
3,bethel,41.3712,-73.414,10.2,89,100,2.57,US,2023-10-30 01:06:42
4,adamstown,-25.066,-130.1015,22.68,82,100,4.12,PN,2023-10-30 01:06:36
5,blackmans bay,-43.0167,147.3167,17.07,50,94,5.63,AU,2023-10-30 01:06:53
6,makassar,-5.14,119.4221,34.03,46,0,6.17,ID,2023-10-30 01:03:19
7,albany,42.6001,-73.9662,7.02,93,100,1.1,US,2023-10-30 01:06:45
8,lata,40.1629,-8.3327,11.15,87,61,1.04,PT,2023-10-30 01:08:27
9,port-aux-francais,-49.35,70.2167,2.22,60,50,12.36,TF,2023-10-30 01:06:36
10,puerto ayora,-0.7393,-90.3518,23.64,92,100,1.34,EC,2023-10-30 01:06:35
11,champerico,14.3,-91.9167,24.85,88,100,3.6,GT,2023-10-30 01:12:45
12,touros,-5.1989,-35.4608,24.85,75,36,6.15,BR,2023-10-30 01:06:23
13,yellowknife,62.456,-114.3525,-10.33,100,21,2.24,CA,2023-10-30 01:09:02
14,praia da vitoria,38.7333,-27.0667,14.31,84,100,1.41,PT,2023-10-30 01:12:46
15,talnakh,69.4865,88.3972,-19.33,93,39,2.26,RU,2023-10-30 01:06:39
16,jamestown,42.097,-79.2353,8.9,99,100,1.54,US,2023-10-30 01:05:19
17,new norfolk,-42.7826,147.0587,17.72,61,81,3.99,AU,2023-10-30 01:09:03
18,fortuna,40.5982,-124.1573,8.51,94,0,4.12,US,2023-10-30 01:04:19
19,san antonio de pale,-1.4014,5.6325,26.53,83,79,4.8,GQ,2023-10-30 01:12:48
20,ushuaia,-54.8,-68.3,-0.19,93,100,7.6,AR,2023-10-30 01:06:33
21,port alfred,-33.5906,26.891,12.32,91,99,6.96,ZA,2023-10-30 01:06:59
22,ciudad satelite,19.5167,-99.25,17.28,51,3,1.68,MX,2023-10-30 01:12:49
23,west island,-12.1568,96.8225,27.99,74,100,8.23,CC,2023-10-30 01:07:03
24,waitangi,-43.9535,-176.5597,12.68,76,66,2.24,NZ,2023-10-30 01:06:41
25,ribeira grande,38.5167,-28.7,17.37,64,100,0.66,PT,2023-10-30 01:08:22
26,kerikeri,-35.2268,173.9474,17.73,94,100,1.34,NZ,2023-10-30 01:08:12
27,vorgashor,67.5833,63.95,-18.45,98,41,2.15,RU,2023-10-30 01:06:49
